lokasi;LT;LB;KT;KM;listrik;garasi_carport;harga
Kota Depok;165;200;4;2;2200;Ada;2100000000
Kota Depok;50;45;2;1;1300;Tidak ada;250000000
Kota Depok;50;36;2;1;1300;Ada;250000000
Kota Depok;50;45;2;1;1300;Tidak ada;250000000
Kota Depok;72;45;2;1;1300;Ada;350000000
Kota Depok;40;30;2;1;1300;Tidak ada;130000000
Kota Depok;50;45;2;1;1300;Tidak ada;250000000
Kota Depok;45;115;2;1;1300;Ada;405000000
Kota Depok;36;60;2;1;1300;Ada;215000000
Kota Depok;87;72;3;2;2200;Ada;865000000
Kota Depok;72;48;2;1;1300;Tidak ada;470000000
Kota Depok;210;250;4;4;2200;Ada;2100000000
Kota Depok;60;45;2;1;1300;Ada;480000000
Kota Depok;70;50;2;1;1300;Ada;530000000
Kota Depok;200;150;3;2;2200;Ada;2000000000
Kota Depok;57;40;2;1;1300;Ada;390000000
Kota Depok;60;40;2;1;1300;Ada;499000000
Kota Depok;100;66;3;2;1300;Tidak ada;964000000
Kota Depok;97;45;2;2;2200;Ada;800000000
Kota Depok;50;36;2;1;1300;Tidak ada;260000000
Kota Depok;112;109;3;4;2200;Tidak ada;1700000000
Kota Depok;84;73;2;2;2200;Ada;1200000000
Kota Depok;75;54;2;1;1300;Ada;450000000
Kota Depok;487;450;6;3;2200;Ada;4000000000
Kota Depok;378;289;4;4;5500;Ada;7000000000
Kota Depok;400;226;5;4;2200;Ada;3600000000
Kota Depok;100;130;4;5;2200;Ada;1700000000
Kota Depok;77;50;2;1;2200;Ada;1100000000
Kota Depok;1024;400;7;5;4400;Ada;6500000000
Kota Depok;1024;400;7;5;5500;Ada;6500000000
Kota Depok;120;103;4;2;2200;Ada;1280000000
Kota Depok;100;130;4;4;2200;Ada;1700000000
Kota Depok;151;180;3;3;2200;Ada;3500000000
Kota Depok;54;47;2;2;2200;Tidak ada;498000000
Kota Depok;60;80;2;1;2200;Tidak ada;928000000
Kota Depok;249;260;3;2;2200;Tidak ada;2500000000
Kota Depok;76;50;2;1;1300;Ada;590000000
Kota Depok;66;45;2;1;1300;Ada;465000000
Kota Depok;112;105;3;2;2200;Ada;1650000000
Kota Depok;100;160;3;3;2200;Ada;1190000000
Kota Depok;70;70;3;2;2200;Ada;966000000
Kota Depok;79;68;3;2;2200;Ada;548000000
Kota Depok;75;75;3;2;2200;Ada;905000000
Kota Depok;77;70;3;2;2200;Ada;1020000000
Kota Depok;120;100;3;2;2200;Ada;1500000000
Kota Depok;78;77;3;2;2200;Ada;1030000000
Kota Depok;105;75;2;1;1300;Tidak ada;1150000000
Kota Depok;63;51;2;2;2200;Ada;795000000
Kota Depok;62;45;2;1;2200;Ada;490000000
Kota Depok;71;61;3;2;2200;Ada;877000000
Kota Depok;92;110;3;1;2200;Ada;1100000000
Kota Depok;96;130;4;3;2200;Ada;1420000000
Kota Depok;63;61;3;2;2200;Ada;1040000000
Kota Depok;66;77;3;2;2200;Ada;877000000
Kota Depok;65;58;3;2;2200;Ada;700000000
Kota Depok;62;77;3;2;2200;Ada;842000000
Kota Depok;104;120;2;2;3500;Ada;1800000000
Kota Depok;110;70;3;1;1300;Ada;875000000
Kota Depok;64;55;3;2;2200;Ada;789000000
Kota Depok;75;62;3;2;2200;Ada;832000000
Kota Depok;60;42;2;1;1300;Tidak ada;41000000
Kota Depok;51;46;2;2;2200;Ada;485000000
Kota Depok;60;40;2;1;1300;Ada;280000000
Kota Depok;45;71;2;1;1300;Ada;350000000
Kota Depok;85;72;3;2;2200;Ada;876000000
Kota Depok;77;60;2;2;2200;Ada;720000000
Kota Depok;60;47;2;2;2200;Ada;498000000
Kota Depok;70;50;2;1;1300;Ada;550000000
Kota Depok;62;63;3;2;2200;Ada;565000000
Kota Depok;66;77;3;2;2200;Ada;877000000
Kota Depok;71;45;2;1;1300;Ada;350000000
Kota Depok;71;51;2;2;2200;Ada;826000000
Kota Depok;71;71;3;2;2200;Ada;920000000
Kota Depok;81;51;2;2;2200;Ada;896000000
Kota Depok;59;51;2;2;2200;Ada;742000000
Kota Depok;79;61;3;2;2200;Ada;933000000
Kota Depok;79;71;3;2;2200;Ada;960000000
Kota Depok;88;71;3;2;2200;Ada;1070000000
Kota Depok;64;75;3;2;2200;Ada;810000000
Kota Depok;63;51;3;2;2200;Ada;795000000
Kota Depok;70;46;2;2;2200;Ada;580000000
Kota Depok;47;46;2;2;2200;Ada;465000000
Kota Depok;55;47;2;2;2200;Ada;498000000
Kota Depok;82;42;2;1;1300;Ada;810000000
Kota Depok;120;105;3;3;2200;Ada;1970000000
Kota Depok;60;62;3;2;2200;Tidak ada;565000000
Kota Depok;65;54;3;2;2200;Ada;665000000
Kota Depok;50;36;2;1;1300;Ada;235000000
Kota Depok;66;45;2;1;1300;Ada;335000000
Kota Depok;185;140;3;3;2200;Ada;610000000
Kota Depok;880;400;5;1;3500;Ada;9000000000
Kota Depok;74;60;3;2;2200;Ada;736000000
Kota Depok;83;100;3;2;2200;Ada;1000000000
Kota Depok;84;50;2;1;1300;Ada;650000000
Kota Depok;66;56;3;2;2200;Ada;845000000
Kota Depok;94;56;3;2;2200;Ada;1050000000
Kota Depok;120;103;3;2;2200;Ada;1280000000
Kota Depok;65;46;2;2;2200;Ada;555000000
Kota Depok;80;80;2;2;900;Tidak ada;320000000
Kota Depok;79;115;2;1;1300;Ada;750000000
Kota Depok;72;45;2;1;2200;Ada;1000000000
